,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"filtered_prob[87, 1]",0.3,0.164,0.018,0.592,0.004,0.003,1799.0,2082.0,1.0
"filtered_prob[87, 2]",0.046,0.058,0.0,0.156,0.002,0.002,1307.0,1612.0,1.0
"filtered_prob[88, 0]",0.069,0.074,0.0,0.209,0.002,0.002,1292.0,1753.0,1.0
"filtered_prob[88, 1]",0.35,0.238,0.0,0.805,0.014,0.007,335.0,762.0,1.0
"filtered_prob[88, 2]",0.581,0.233,0.097,0.927,0.013,0.007,394.0,785.0,1.0
"filtered_prob[89, 0]",0.216,0.145,0.0,0.47,0.004,0.003,1422.0,1844.0,1.0
"filtered_prob[89, 1]",0.491,0.186,0.175,0.853,0.006,0.003,943.0,1668.0,1.0
"filtered_prob[89, 2]",0.292,0.179,0.0,0.591,0.005,0.002,1221.0,1430.0,1.0
"filtered_prob[90, 0]",0.158,0.115,0.001,0.352,0.003,0.003,1417.0,1812.0,1.0
"filtered_prob[90, 1]",0.549,0.193,0.196,0.895,0.006,0.002,1085.0,1763.0,1.0
"filtered_prob[90, 2]",0.293,0.184,0.0,0.6,0.005,0.002,1167.0,1350.0,1.0
"filtered_prob[91, 0]",0.934,0.068,0.807,1.0,0.002,0.002,1705.0,1709.0,1.0
"filtered_prob[91, 1]",0.061,0.068,0.0,0.186,0.002,0.002,1510.0,2143.0,1.0
"filtered_prob[91, 2]",0.004,0.01,0.0,0.019,0.0,0.001,959.0,956.0,1.0
"filtered_prob[92, 0]",0.393,0.196,0.047,0.734,0.006,0.003,1243.0,1708.0,1.0
"filtered_prob[92, 1]",0.39,0.211,0.047,0.773,0.008,0.004,733.0,1418.0,1.0
"filtered_prob[92, 2]",0.216,0.181,0.0,0.548,0.006,0.003,918.0,1395.0,1.0
"filtered_prob[93, 0]",0.117,0.106,0.0,0.303,0.003,0.004,1301.0,1795.0,1.0
"filtered_prob[93, 1]",0.449,0.232,0.104,0.888,0.01,0.004,579.0,1308.0,1.0
"filtered_prob[93, 2]",0.434,0.223,0.0,0.742,0.009,0.004,634.0,1173.0,1.0
"filtered_prob[94, 0]",0.909,0.083,0.759,1.0,0.002,0.002,1795.0,1839.0,1.0
"filtered_prob[94, 1]",0.083,0.08,0.0,0.232,0.002,0.002,1701.0,1812.0,1.0
"filtered_prob[94, 2]",0.008,0.015,0.0,0.034,0.0,0.001,1311.0,1519.0,1.0
"filtered_prob[95, 0]",0.798,0.141,0.531,0.995,0.003,0.003,1684.0,1934.0,1.0
"filtered_prob[95, 1]",0.166,0.129,0.001,0.404,0.003,0.003,1604.0,1845.0,1.0
"filtered_prob[95, 2]",0.035,0.049,0.0,0.129,0.001,0.002,1442.0,1467.0,1.0
"filtered_prob[96, 0]",0.215,0.176,0.004,0.573,0.004,0.004,1888.0,2196.0,1.0
"filtered_prob[96, 1]",0.716,0.187,0.34,0.979,0.007,0.005,992.0,1416.0,1.0
"filtered_prob[96, 2]",0.068,0.097,0.0,0.253,0.005,0.005,558.0,771.0,1.0
"filtered_prob[97, 0]",0.079,0.067,0.0,0.203,0.002,0.002,1373.0,1865.0,1.0
"filtered_prob[97, 1]",0.561,0.15,0.279,0.832,0.005,0.002,1051.0,1476.0,1.0
"filtered_prob[97, 2]",0.36,0.151,0.084,0.639,0.005,0.002,1057.0,1361.0,1.0
"filtered_prob[98, 0]",0.061,0.054,0.0,0.161,0.001,0.002,1258.0,1723.0,1.0
"filtered_prob[98, 1]",0.442,0.187,0.121,0.801,0.007,0.002,733.0,1716.0,1.0
"filtered_prob[98, 2]",0.497,0.18,0.171,0.828,0.006,0.003,819.0,1623.0,1.0
"filtered_prob[99, 0]",0.076,0.06,0.0,0.183,0.002,0.002,1220.0,1723.0,1.0
"filtered_prob[99, 1]",0.41,0.183,0.078,0.744,0.006,0.002,787.0,1465.0,1.0
"filtered_prob[99, 2]",0.514,0.173,0.185,0.818,0.006,0.002,972.0,1783.0,1.0
"filtered_prob[100, 0]",0.471,0.187,0.117,0.799,0.005,0.003,1748.0,2074.0,1.0
"filtered_prob[100, 1]",0.416,0.167,0.119,0.726,0.004,0.002,1854.0,2052.0,1.0
"filtered_prob[100, 2]",0.113,0.119,0.0,0.337,0.004,0.003,930.0,1584.0,1.0
"filtered_prob[101, 0]",0.261,0.17,0.011,0.577,0.004,0.003,1536.0,2050.0,1.0
"filtered_prob[101, 1]",0.537,0.178,0.213,0.873,0.005,0.002,1439.0,1454.0,1.0
"filtered_prob[101, 2]",0.202,0.158,0.0,0.484,0.004,0.002,1129.0,1510.0,1.0
"filtered_prob[102, 0]",0.978,0.035,0.919,1.0,0.001,0.002,1706.0,1196.0,1.0
"filtered_prob[102, 1]",0.02,0.035,0.0,0.079,0.001,0.002,1473.0,1496.0,1.0
"filtered_prob[102, 2]",0.001,0.005,0.0,0.004,0.0,0.001,845.0,774.0,1.0
"filtered_prob[103, 0]",0.994,0.014,0.979,1.0,0.0,0.001,1796.0,1032.0,1.0
"filtered_prob[103, 1]",0.006,0.013,0.0,0.02,0.0,0.001,1919.0,1467.0,1.0
"filtered_prob[103, 2]",0.0,0.001,0.0,0.002,0.0,0.0,1309.0,1899.0,1.0
"filtered_prob[104, 0]",0.987,0.018,0.96,1.0,0.0,0.001,1855.0,1097.0,1.0
"filtered_prob[104, 1]",0.011,0.017,0.0,0.037,0.0,0.001,2064.0,1541.0,1.0
"filtered_prob[104, 2]",0.001,0.003,0.0,0.005,0.0,0.0,1360.0,1732.0,1.0
"filtered_prob[105, 0]",0.45,0.112,0.259,0.675,0.003,0.002,1250.0,1572.0,1.0
"filtered_prob[105, 1]",0.239,0.175,0.014,0.584,0.009,0.005,498.0,1071.0,1.0
"filtered_prob[105, 2]",0.311,0.155,0.001,0.529,0.007,0.004,521.0,571.0,1.0
"filtered_prob[106, 0]",0.969,0.037,0.906,1.0,0.001,0.001,1954.0,1717.0,1.0
"filtered_prob[106, 1]",0.029,0.036,0.0,0.089,0.001,0.001,2068.0,1836.0,1.0
"filtered_prob[106, 2]",0.003,0.007,0.0,0.012,0.0,0.001,1192.0,1745.0,1.0
"filtered_prob[107, 0]",0.118,0.11,0.0,0.324,0.003,0.004,1238.0,1332.0,1.0
"filtered_prob[107, 1]",0.312,0.27,0.001,0.859,0.016,0.01,423.0,934.0,1.0
"filtered_prob[107, 2]",0.571,0.269,0.005,0.881,0.014,0.009,472.0,809.0,1.0
"filtered_prob[108, 0]",0.781,0.142,0.522,0.985,0.003,0.003,2013.0,2294.0,1.0
"filtered_prob[108, 1]",0.182,0.127,0.006,0.412,0.003,0.003,2035.0,2252.0,1.0
"filtered_prob[108, 2]",0.037,0.053,0.0,0.126,0.001,0.002,1280.0,1574.0,1.0
"filtered_prob[109, 0]",0.2,0.154,0.001,0.491,0.004,0.004,1281.0,1629.0,1.0
"filtered_prob[109, 1]",0.431,0.235,0.087,0.872,0.01,0.004,580.0,1343.0,1.0
"filtered_prob[109, 2]",0.368,0.232,0.0,0.719,0.009,0.002,619.0,1535.0,1.0
"filtered_prob[110, 0]",0.985,0.026,0.945,1.0,0.001,0.002,1829.0,1476.0,1.0
"filtered_prob[110, 1]",0.014,0.026,0.0,0.054,0.001,0.002,1708.0,1738.0,1.0
"filtered_prob[110, 2]",0.001,0.003,0.0,0.003,0.0,0.0,1053.0,1558.0,1.0
"filtered_prob[111, 0]",0.891,0.158,0.583,1.0,0.005,0.008,1489.0,1347.0,1.0
"filtered_prob[111, 1]",0.105,0.158,0.0,0.415,0.005,0.008,1230.0,1355.0,1.0
"filtered_prob[111, 2]",0.004,0.016,0.0,0.013,0.001,0.002,599.0,548.0,1.0
"filtered_prob[112, 0]",0.415,0.215,0.057,0.796,0.006,0.003,1475.0,2018.0,1.0
"filtered_prob[112, 1]",0.393,0.201,0.046,0.759,0.007,0.003,779.0,1372.0,1.0
"filtered_prob[112, 2]",0.192,0.174,0.0,0.52,0.006,0.003,919.0,1518.0,1.0
"filtered_prob[113, 0]",0.275,0.183,0.012,0.617,0.005,0.003,1606.0,1988.0,1.0
"filtered_prob[113, 1]",0.502,0.2,0.166,0.882,0.007,0.003,931.0,1478.0,1.0
"filtered_prob[113, 2]",0.223,0.178,0.0,0.542,0.006,0.003,935.0,1583.0,1.0
"filtered_prob[114, 0]",0.331,0.103,0.147,0.515,0.003,0.002,1468.0,1903.0,1.0
"filtered_prob[114, 1]",0.396,0.145,0.117,0.65,0.005,0.002,815.0,1386.0,1.0
"filtered_prob[114, 2]",0.273,0.121,0.03,0.462,0.005,0.002,689.0,1046.0,1.0
"filtered_prob[115, 0]",0.244,0.103,0.064,0.429,0.003,0.002,1456.0,1977.0,1.0
"filtered_prob[115, 1]",0.418,0.159,0.129,0.707,0.006,0.003,665.0,1283.0,1.0
"filtered_prob[115, 2]",0.339,0.138,0.07,0.572,0.006,0.003,644.0,986.0,1.0
"filtered_prob[116, 0]",0.851,0.126,0.614,0.999,0.003,0.003,2058.0,2089.0,1.0
"filtered_prob[116, 1]",0.134,0.118,0.0,0.364,0.003,0.003,1931.0,2175.0,1.0
"filtered_prob[116, 2]",0.016,0.027,0.0,0.06,0.001,0.001,1159.0,1887.0,1.0
"filtered_prob[117, 0]",0.851,0.142,0.59,0.999,0.003,0.004,2076.0,2088.0,1.0
"filtered_prob[117, 1]",0.128,0.127,0.0,0.37,0.003,0.003,2133.0,2047.0,1.0
"filtered_prob[117, 2]",0.02,0.035,0.0,0.078,0.001,0.002,1285.0,1768.0,1.0
"filtered_prob[118, 0]",0.963,0.065,0.869,1.0,0.002,0.004,1925.0,1694.0,1.0
"filtered_prob[118, 1]",0.034,0.062,0.0,0.126,0.002,0.004,1957.0,1472.0,1.0
"filtered_prob[118, 2]",0.003,0.007,0.0,0.01,0.0,0.001,1327.0,1874.0,1.0
"filtered_prob[119, 0]",0.836,0.146,0.568,0.998,0.003,0.004,1801.0,2120.0,1.0
"filtered_prob[119, 1]",0.132,0.124,0.001,0.365,0.003,0.003,1760.0,1826.0,1.0
"filtered_prob[119, 2]",0.032,0.053,0.0,0.125,0.001,0.002,1262.0,1751.0,1.0
"filtered_prob[120, 0]",0.249,0.135,0.033,0.497,0.004,0.003,1306.0,1521.0,1.0
"filtered_prob[120, 1]",0.346,0.219,0.028,0.758,0.011,0.006,466.0,1019.0,1.0
"filtered_prob[120, 2]",0.406,0.195,0.011,0.678,0.009,0.005,517.0,460.0,1.0
"filtered_prob[121, 0]",0.953,0.062,0.848,1.0,0.001,0.003,1887.0,1654.0,1.0
"filtered_prob[121, 1]",0.043,0.06,0.0,0.146,0.001,0.003,1876.0,1914.0,1.0
"filtered_prob[121, 2]",0.004,0.009,0.0,0.016,0.0,0.001,1186.0,1787.0,1.0
"filtered_prob[122, 0]",0.394,0.125,0.174,0.641,0.003,0.002,1342.0,1602.0,1.0
"filtered_prob[122, 1]",0.273,0.185,0.021,0.632,0.01,0.005,455.0,1095.0,1.0
"filtered_prob[122, 2]",0.333,0.164,0.002,0.565,0.008,0.004,530.0,544.0,1.0
"filtered_prob[123, 0]",0.165,0.123,0.002,0.389,0.003,0.003,1739.0,1850.0,1.0
"filtered_prob[123, 1]",0.759,0.148,0.474,0.978,0.006,0.004,840.0,1114.0,1.0
"filtered_prob[123, 2]",0.075,0.098,0.0,0.258,0.005,0.006,536.0,519.0,1.0
"filtered_prob[124, 0]",0.046,0.058,0.0,0.153,0.001,0.002,1340.0,1776.0,1.0
"filtered_prob[124, 1]",0.453,0.227,0.002,0.8,0.007,0.003,1000.0,1315.0,1.0
"filtered_prob[124, 2]",0.501,0.223,0.131,0.921,0.007,0.003,1097.0,1772.0,1.0
"filtered_prob[125, 0]",0.055,0.072,0.0,0.182,0.002,0.003,1118.0,1352.0,1.0
"filtered_prob[125, 1]",0.35,0.253,0.0,0.791,0.007,0.003,1151.0,999.0,1.0
"filtered_prob[125, 2]",0.595,0.245,0.144,0.976,0.006,0.003,1453.0,1860.0,1.0
"filtered_prob[126, 0]",0.67,0.202,0.306,0.986,0.005,0.003,1535.0,1972.0,1.0
"filtered_prob[126, 1]",0.27,0.184,0.012,0.616,0.004,0.003,1811.0,2219.0,1.0
"filtered_prob[126, 2]",0.06,0.096,0.0,0.225,0.005,0.007,657.0,504.0,1.0
"filtered_prob[127, 0]",0.354,0.187,0.03,0.686,0.005,0.003,1508.0,1999.0,1.0
"filtered_prob[127, 1]",0.474,0.184,0.143,0.81,0.005,0.003,1432.0,1330.0,1.0
"filtered_prob[127, 2]",0.172,0.134,0.0,0.41,0.003,0.002,1298.0,1433.0,1.0
"filtered_prob[128, 0]",0.106,0.093,0.0,0.274,0.002,0.003,1346.0,1748.0,1.0
"filtered_prob[128, 1]",0.496,0.204,0.139,0.869,0.008,0.003,666.0,1424.0,1.0
"filtered_prob[128, 2]",0.397,0.195,0.0,0.687,0.007,0.003,755.0,1298.0,1.0
"filtered_prob[129, 0]",0.918,0.078,0.777,1.0,0.002,0.002,1715.0,2178.0,1.0
"filtered_prob[129, 1]",0.075,0.077,0.0,0.217,0.002,0.002,1553.0,1974.0,1.0
"filtered_prob[129, 2]",0.007,0.016,0.0,0.028,0.001,0.001,869.0,858.0,1.0
"filtered_prob[130, 0]",0.108,0.096,0.0,0.282,0.003,0.003,1296.0,1670.0,1.0
"filtered_prob[130, 1]",0.333,0.257,0.002,0.849,0.015,0.009,378.0,972.0,1.0
"filtered_prob[130, 2]",0.559,0.255,0.013,0.862,0.013,0.008,484.0,890.0,1.0
"filtered_prob[131, 0]",0.445,0.182,0.112,0.776,0.005,0.002,1531.0,1905.0,1.0
"filtered_prob[131, 1]",0.415,0.178,0.104,0.752,0.005,0.003,1260.0,1382.0,1.0
"filtered_prob[131, 2]",0.14,0.123,0.0,0.368,0.003,0.003,1261.0,1460.0,1.0
"filtered_prob[132, 0]",0.124,0.1,0.0,0.301,0.003,0.003,1352.0,1795.0,1.0
"filtered_prob[132, 1]",0.488,0.212,0.138,0.877,0.009,0.003,624.0,1431.0,1.0
"filtered_prob[132, 2]",0.388,0.205,0.0,0.682,0.008,0.003,673.0,1394.0,1.0
"filtered_prob[133, 0]",0.516,0.2,0.138,0.869,0.005,0.003,1750.0,1981.0,1.0
"filtered_prob[133, 1]",0.403,0.188,0.086,0.763,0.005,0.003,1631.0,1662.0,1.0
"filtered_prob[133, 2]",0.08,0.093,0.0,0.259,0.002,0.003,1415.0,1464.0,1.0
"filtered_prob[134, 0]",0.107,0.093,0.0,0.274,0.002,0.003,1361.0,1875.0,1.0
"filtered_prob[134, 1]",0.479,0.218,0.126,0.882,0.009,0.003,578.0,1476.0,1.0
"filtered_prob[134, 2]",0.414,0.211,0.0,0.714,0.009,0.003,613.0,1341.0,1.0
"filtered_prob[135, 0]",0.147,0.104,0.001,0.333,0.003,0.002,1344.0,1859.0,1.0
"filtered_prob[135, 1]",0.534,0.197,0.192,0.9,0.007,0.002,891.0,1516.0,1.0
"filtered_prob[135, 2]",0.319,0.186,0.0,0.611,0.006,0.002,924.0,1513.0,1.0
"filtered_prob[136, 0]",0.055,0.053,0.0,0.147,0.001,0.002,1245.0,1782.0,1.0
"filtered_prob[136, 1]",0.403,0.221,0.04,0.835,0.01,0.004,532.0,1275.0,1.0
"filtered_prob[136, 2]",0.542,0.218,0.106,0.895,0.01,0.004,560.0,1219.0,1.0
"filtered_prob[137, 0]",0.315,0.16,0.031,0.599,0.004,0.002,1560.0,2097.0,1.0
"filtered_prob[137, 1]",0.501,0.177,0.185,0.838,0.005,0.002,1469.0,1705.0,1.0
"filtered_prob[137, 2]",0.183,0.144,0.0,0.442,0.004,0.002,1393.0,1619.0,1.0
"filtered_prob[138, 0]",0.815,0.126,0.583,0.993,0.003,0.002,1810.0,2220.0,1.0
"filtered_prob[138, 1]",0.168,0.124,0.0,0.398,0.003,0.002,1647.0,2015.0,1.0
"filtered_prob[138, 2]",0.017,0.03,0.0,0.063,0.001,0.002,1061.0,1306.0,1.0
"filtered_prob[139, 0]",0.079,0.081,0.0,0.231,0.002,0.003,1295.0,1713.0,1.0
"filtered_prob[139, 1]",0.33,0.246,0.0,0.83,0.015,0.009,331.0,851.0,1.0
"filtered_prob[139, 2]",0.591,0.244,0.071,0.92,0.014,0.009,415.0,846.0,1.0
"filtered_prob[140, 0]",0.982,0.033,0.938,1.0,0.001,0.003,1765.0,1750.0,1.0
"filtered_prob[140, 1]",0.017,0.033,0.0,0.06,0.001,0.003,1701.0,1746.0,1.0
"filtered_prob[140, 2]",0.001,0.004,0.0,0.005,0.0,0.0,909.0,1021.0,1.0
"filtered_prob[141, 0]",0.321,0.185,0.025,0.661,0.005,0.003,1190.0,1824.0,1.0
"filtered_prob[141, 1]",0.379,0.238,0.034,0.81,0.01,0.005,598.0,1287.0,1.0
"filtered_prob[141, 2]",0.3,0.22,0.0,0.678,0.008,0.003,746.0,1309.0,1.0
"filtered_prob[142, 0]",0.086,0.079,0.0,0.223,0.002,0.003,1239.0,1662.0,1.0
"filtered_prob[142, 1]",0.384,0.243,0.062,0.88,0.013,0.006,468.0,1158.0,1.0
"filtered_prob[142, 2]",0.529,0.237,0.048,0.848,0.012,0.006,498.0,1150.0,1.0
"filtered_prob[143, 0]",0.083,0.069,0.0,0.206,0.002,0.002,1206.0,1688.0,1.0
"filtered_prob[143, 1]",0.372,0.209,0.063,0.803,0.011,0.005,479.0,1056.0,1.0
"filtered_prob[143, 2]",0.545,0.201,0.103,0.834,0.01,0.005,531.0,1004.0,1.0
"filtered_prob[144, 0]",0.914,0.077,0.784,1.0,0.002,0.003,2006.0,1994.0,1.0
"filtered_prob[144, 1]",0.077,0.075,0.0,0.205,0.002,0.003,1904.0,2054.0,1.0
"filtered_prob[144, 2]",0.009,0.017,0.0,0.034,0.001,0.001,950.0,1576.0,1.0
"filtered_prob[145, 0]",0.103,0.097,0.0,0.291,0.003,0.003,1270.0,1719.0,1.0
"filtered_prob[145, 1]",0.311,0.249,0.002,0.823,0.015,0.01,339.0,551.0,1.0
"filtered_prob[145, 2]",0.586,0.246,0.049,0.886,0.014,0.009,468.0,647.0,1.0
"filtered_prob[146, 0]",0.271,0.148,0.016,0.536,0.004,0.002,1453.0,1953.0,1.0
"filtered_prob[146, 1]",0.465,0.192,0.143,0.83,0.007,0.003,842.0,1514.0,1.0
"filtered_prob[146, 2]",0.264,0.171,0.0,0.553,0.005,0.002,965.0,1593.0,1.0
"filtered_prob[147, 0]",0.059,0.06,0.0,0.164,0.002,0.002,1263.0,1783.0,1.0
"filtered_prob[147, 1]",0.365,0.223,0.0,0.783,0.012,0.006,390.0,902.0,1.0
"filtered_prob[147, 2]",0.576,0.219,0.105,0.9,0.011,0.006,468.0,1007.0,1.0
"filtered_prob[148, 0]",0.915,0.077,0.783,1.0,0.002,0.003,1897.0,1951.0,1.0
"filtered_prob[148, 1]",0.076,0.076,0.0,0.209,0.002,0.003,1811.0,2071.0,1.0
"filtered_prob[148, 2]",0.008,0.016,0.0,0.033,0.001,0.001,943.0,1200.0,1.0
"filtered_prob[149, 0]",0.973,0.035,0.916,1.0,0.001,0.002,1890.0,1250.0,1.0
"filtered_prob[149, 1]",0.025,0.035,0.0,0.08,0.001,0.002,1973.0,1743.0,1.0
"filtered_prob[149, 2]",0.002,0.005,0.0,0.01,0.0,0.0,1354.0,1700.0,1.0
"filtered_prob[150, 0]",0.553,0.187,0.222,0.894,0.005,0.003,1358.0,2105.0,1.0
"filtered_prob[150, 1]",0.309,0.19,0.022,0.66,0.007,0.004,870.0,1662.0,1.0
"filtered_prob[150, 2]",0.139,0.136,0.0,0.405,0.004,0.003,948.0,1269.0,1.0
"filtered_prob[151, 0]",0.825,0.127,0.598,0.993,0.003,0.003,1940.0,2319.0,1.0
"filtered_prob[151, 1]",0.154,0.123,0.004,0.379,0.003,0.003,1950.0,2502.0,1.0
"filtered_prob[151, 2]",0.021,0.031,0.0,0.075,0.001,0.001,1359.0,1578.0,1.0
"filtered_prob[152, 0]",0.116,0.103,0.0,0.304,0.003,0.003,1318.0,1736.0,1.0
"filtered_prob[152, 1]",0.365,0.256,0.022,0.866,0.014,0.007,452.0,1157.0,1.0
"filtered_prob[152, 2]",0.519,0.251,0.008,0.83,0.012,0.007,486.0,921.0,1.0
"filtered_prob[153, 0]",0.81,0.13,0.567,0.99,0.003,0.003,1931.0,2371.0,1.0
"filtered_prob[153, 1]",0.166,0.123,0.001,0.389,0.003,0.003,1886.0,2178.0,1.0
"filtered_prob[153, 2]",0.025,0.036,0.0,0.09,0.001,0.002,1370.0,1591.0,1.0
"filtered_prob[154, 0]",0.883,0.104,0.694,0.998,0.002,0.003,2027.0,2413.0,1.0
"filtered_prob[154, 1]",0.103,0.099,0.0,0.283,0.002,0.003,2073.0,2440.0,1.0
"filtered_prob[154, 2]",0.013,0.022,0.0,0.05,0.001,0.001,1416.0,1614.0,1.0
"filtered_prob[155, 0]",0.545,0.198,0.166,0.88,0.005,0.003,1610.0,2159.0,1.0
"filtered_prob[155, 1]",0.335,0.191,0.029,0.675,0.006,0.003,1136.0,1729.0,1.0
"filtered_prob[155, 2]",0.12,0.12,0.0,0.353,0.003,0.002,1037.0,1468.0,1.0
"filtered_prob[156, 0]",0.161,0.128,0.0,0.392,0.003,0.003,1389.0,1910.0,1.0
"filtered_prob[156, 1]",0.469,0.229,0.118,0.899,0.01,0.003,618.0,1296.0,1.0
"filtered_prob[156, 2]",0.369,0.212,0.0,0.68,0.009,0.003,633.0,1452.0,1.0
"filtered_prob[157, 0]",0.63,0.178,0.284,0.92,0.004,0.003,1730.0,2073.0,1.0
"filtered_prob[157, 1]",0.318,0.172,0.032,0.633,0.004,0.003,1610.0,1867.0,1.0
"filtered_prob[157, 2]",0.052,0.064,0.0,0.173,0.002,0.002,1408.0,1498.0,1.0
"filtered_prob[158, 0]",0.227,0.15,0.007,0.495,0.004,0.003,1554.0,1798.0,1.0
"filtered_prob[158, 1]",0.513,0.207,0.147,0.878,0.007,0.003,865.0,1460.0,1.0
"filtered_prob[158, 2]",0.261,0.179,0.0,0.558,0.006,0.002,767.0,1461.0,1.0
"filtered_prob[159, 0]",0.387,0.184,0.047,0.705,0.005,0.002,1671.0,1894.0,1.0
"filtered_prob[159, 1]",0.501,0.193,0.133,0.83,0.005,0.002,1535.0,1694.0,1.0
"filtered_prob[159, 2]",0.112,0.106,0.0,0.312,0.003,0.002,1276.0,1476.0,1.0
"filtered_prob[160, 0]",0.118,0.102,0.0,0.296,0.003,0.003,1438.0,1910.0,1.0
"filtered_prob[160, 1]",0.537,0.205,0.161,0.886,0.008,0.002,749.0,1254.0,1.0
"filtered_prob[160, 2]",0.344,0.194,0.0,0.642,0.007,0.002,708.0,1399.0,1.0
"filtered_prob[161, 0]",0.204,0.131,0.008,0.444,0.003,0.003,1504.0,1894.0,1.0
"filtered_prob[161, 1]",0.578,0.186,0.232,0.898,0.005,0.002,1303.0,1504.0,1.0
"filtered_prob[161, 2]",0.218,0.156,0.0,0.492,0.004,0.002,1134.0,1448.0,1.0
"filtered_prob[162, 0]",0.088,0.073,0.001,0.215,0.002,0.002,1896.0,1692.0,1.0
"filtered_prob[162, 1]",0.793,0.127,0.557,0.983,0.005,0.004,708.0,1379.0,1.0
"filtered_prob[162, 2]",0.119,0.113,0.0,0.324,0.005,0.004,708.0,1323.0,1.0
"filtered_prob[163, 0]",0.691,0.186,0.372,0.991,0.005,0.003,1241.0,1800.0,1.0
"filtered_prob[163, 1]",0.288,0.184,0.003,0.598,0.006,0.003,910.0,1240.0,1.0
"filtered_prob[163, 2]",0.021,0.036,0.0,0.084,0.001,0.002,981.0,1182.0,1.0
"filtered_prob[164, 0]",0.085,0.081,0.0,0.232,0.002,0.003,1365.0,1765.0,1.0
"filtered_prob[164, 1]",0.398,0.215,0.042,0.82,0.013,0.006,334.0,840.0,1.0
"filtered_prob[164, 2]",0.517,0.212,0.078,0.847,0.012,0.006,405.0,636.0,1.0
"filtered_prob[165, 0]",0.976,0.04,0.913,1.0,0.001,0.003,1698.0,1764.0,1.0
"filtered_prob[165, 1]",0.023,0.04,0.0,0.084,0.001,0.003,1589.0,1776.0,1.0
"filtered_prob[165, 2]",0.001,0.005,0.0,0.006,0.0,0.0,905.0,1172.0,1.0
"filtered_prob[166, 0]",0.112,0.102,0.0,0.305,0.003,0.003,1295.0,1631.0,1.0
"filtered_prob[166, 1]",0.311,0.269,0.001,0.86,0.016,0.01,374.0,818.0,1.0
"filtered_prob[166, 2]",0.577,0.267,0.005,0.876,0.015,0.009,496.0,739.0,1.0
"filtered_prob[167, 0]",0.839,0.119,0.617,0.998,0.003,0.003,1727.0,1916.0,1.0
"filtered_prob[167, 1]",0.137,0.109,0.002,0.337,0.003,0.003,1821.0,1955.0,1.0
"filtered_prob[167, 2]",0.024,0.036,0.0,0.088,0.001,0.002,1406.0,1829.0,1.0
"filtered_prob[168, 0]",0.095,0.094,0.0,0.269,0.003,0.003,1254.0,1802.0,1.0
"filtered_prob[168, 1]",0.315,0.247,0.001,0.814,0.015,0.009,330.0,629.0,1.01
"filtered_prob[168, 2]",0.59,0.243,0.066,0.902,0.014,0.009,426.0,547.0,1.0
"filtered_prob[169, 0]",0.92,0.076,0.779,1.0,0.002,0.002,1921.0,2012.0,1.0
"filtered_prob[169, 1]",0.071,0.074,0.0,0.208,0.002,0.003,1946.0,2037.0,1.0
"filtered_prob[169, 2]",0.009,0.016,0.0,0.033,0.0,0.001,1161.0,1794.0,1.0
"filtered_prob[170, 0]",0.093,0.097,0.0,0.283,0.003,0.003,1252.0,1722.0,1.0
"filtered_prob[170, 1]",0.288,0.255,0.0,0.825,0.016,0.011,320.0,577.0,1.0
"filtered_prob[170, 2]",0.62,0.254,0.074,0.941,0.015,0.01,408.0,695.0,1.0
"filtered_prob[171, 0]",0.987,0.028,0.952,1.0,0.001,0.003,1807.0,1629.0,1.0
"filtered_prob[171, 1]",0.012,0.028,0.0,0.046,0.001,0.003,1791.0,1726.0,1.0
"filtered_prob[171, 2]",0.001,0.003,0.0,0.004,0.0,0.0,947.0,1322.0,1.0
"filtered_prob[172, 0]",0.692,0.175,0.352,0.96,0.005,0.003,1448.0,2037.0,1.0
"filtered_prob[172, 1]",0.229,0.163,0.007,0.551,0.005,0.004,1083.0,1432.0,1.0
"filtered_prob[172, 2]",0.08,0.094,0.0,0.256,0.002,0.003,1215.0,1578.0,1.0
"filtered_prob[173, 0]",0.99,0.02,0.962,1.0,0.0,0.001,1886.0,1753.0,1.0
"filtered_prob[173, 1]",0.01,0.02,0.0,0.037,0.0,0.001,1869.0,1387.0,1.0
"filtered_prob[173, 2]",0.001,0.002,0.0,0.003,0.0,0.0,1297.0,1861.0,1.0
"filtered_prob[174, 0]",0.542,0.202,0.169,0.9,0.006,0.003,1261.0,2063.0,1.01
"filtered_prob[174, 1]",0.309,0.201,0.006,0.688,0.007,0.004,806.0,1461.0,1.0
"filtered_prob[174, 2]",0.149,0.146,0.0,0.431,0.004,0.003,1029.0,1707.0,1.0
"filtered_prob[175, 0]",0.94,0.061,0.825,1.0,0.001,0.002,1940.0,2037.0,1.0
"filtered_prob[175, 1]",0.055,0.06,0.0,0.164,0.001,0.002,1931.0,1948.0,1.0
"filtered_prob[175, 2]",0.005,0.01,0.0,0.021,0.0,0.001,1436.0,1732.0,1.0
"filtered_prob[176, 0]",0.144,0.115,0.0,0.358,0.003,0.003,1248.0,1597.0,1.0
"filtered_prob[176, 1]",0.326,0.25,0.018,0.83,0.015,0.009,396.0,627.0,1.0
"filtered_prob[176, 2]",0.531,0.242,0.004,0.819,0.013,0.008,499.0,640.0,1.0
"filtered_prob[177, 0]",0.967,0.042,0.899,1.0,0.001,0.002,1869.0,1876.0,1.0
